c,1,22.26,40.347,144.29,2016-03-15 19:06:28
c,4,21.98,37.999,215.71,2016-03-15 19:06:28
c,5,22.00,41.603,158.57,2016-03-15 19:06:28
b,1,22.91,50.513,165.71,2016-03-15 19:06:29
b,2,22.66,64.607,187.14,2016-03-15 19:06:29
b,3,22.74,53.105,184.29,2016-03-15 19:06:29
c,2,22.10,50.351,174.29,2016-03-15 19:06:29
c,3,22.08,35.325,160.00,2016-03-15 19:06:29
a,2,21.12,43.709,184.29,2016-03-15 19:06:30
a,1,20.70,45.370,197.14,2016-03-15 19:06:31
a,3,20.74,41.441,215.71,2016-03-15 19:06:32
a,4,21.14,42.535,231.43,2016-03-15 19:06:32
c,1,22.25,40.307,142.86,2016-03-15 19:06:32
c,4,21.97,37.999,218.57,2016-03-15 19:06:32
c,5,22.00,41.563,158.57,2016-03-15 19:06:32
b,2,22.66,64.607,184.29,2016-03-15 19:06:33
c,2,22.10,50.351,172.86,2016-03-15 19:06:33
c,3,22.09,35.325,161.43,2016-03-15 19:06:33
a,2,21.12,43.709,185.71,2016-03-15 19:06:34
b,1,22.91,50.513,165.71,2016-03-15 19:06:34
b,3,22.76,53.186,184.29,2016-03-15 19:06:34
a,1,20.72,45.370,197.14,2016-03-15 19:06:36
a,3,20.73,41.441,212.86,2016-03-15 19:06:36
a,4,21.14,42.494,230.00,2016-03-15 19:06:36
c,4,21.98,37.999,217.14,2016-03-15 19:06:36
c,5,22.00,41.603,158.57,2016-03-15 19:06:36
b,1,22.90,50.513,164.29,2016-03-15 19:06:37
b,2,22.66,64.607,184.29,2016-03-15 19:06:37
b,3,22.74,53.186,184.29,2016-03-15 19:06:37
c,1,22.26,40.307,144.29,2016-03-15 19:06:37
c,2,22.09,50.351,172.86,2016-03-15 19:06:37
c,3,22.08,35.325,160.00,2016-03-15 19:06:37
a,2,21.12,43.709,185.71,2016-03-15 19:06:38
a,1,20.72,45.370,198.57,2016-03-15 19:06:39
a,4,21.14,42.494,232.86,2016-03-15 19:06:39
a,3,20.74,41.441,214.29,2016-03-15 19:06:40
c,4,21.97,37.999,215.71,2016-03-15 19:06:40
b,1,22.92,50.513,165.71,2016-03-15 19:06:41
